scramble,orientation,step_0,step_1,step_2,step_3,step_4,step_5,total_moves
F' B D2 B U' D2 L R U2 R' L' U2 R' D' B D' U L2 D' L D2,x2,B2 U2 F' U R2,R B' R2 D2 R2 D2 F2 R,B2 U2 B2 D B' U2 B R2 F2 R2 D' B,B D U' L2 D' U B,B' U R B R' B U B2 U B U2,U R D2 R' F' L' F L R D2 R2 U' R,56
R U F2 L' B' U2 L2 B2 R U' F' B2 D' F' L D R2 U2 D' F' B2,x2,F' D' L2 D2 R,F U2 L U2 R' B2 F D' F2,F L U B' U' B U2 B2 L' B F',B D U' L2 D' U B,F L2 D2 R2 B U2 R2 D2,R' F' L' B' U' B L F R U,50
D R B2 L B2 U' L' U' D R U2 D2 B U2 D' B F' L' R D2,x2,B D2 B2 L F',B2 F' L2 F' U2 F2 L2,B F2 U B U2 R2 B D F2 U2 L2 D2,L U' L' R B R',L' U L F U2 B2 U B U2 F' U B2 U2,L2 B' U' L2 B' D' B D L2 B U L2,55
B D' L' R' F' U' D2 B2 R' U F' B' L2 B' F U D' B2 D' F2 D L R2,x2,D2 L' F' D2,D F2 D' R D B R F2 D',B U' F' R B2 D R D2 R2 F U,L2 B' D U' L D' U L2,D2 F' U F U R2 U2 F R' F' R D2 L2,B2 L B' F U' B' U' B F' L B',56
L' D2 B' F' D' F' L F2 R2 F B U2 L F L2 F' B U2 D' R F' U L2,x2,U' B F L F2,B2 L' D2 L2 B' D B U' L',U2 R2 B2 F D F D' B2 F2 R2 U2,B2 L R' U2 L' R,U2 F' U L2 U2 F' L F L U2 L2 U F,F U' F' L' B2 R U B U' L' R' B2 L2,57
U2 B R2 B2 F L2 D2 L2 D F2 L2 D' B L' U D' L B L2 R2 F',x2,U' R' B L',B' R B' L' D2 R' D L,D2 R' F2 L2 D2 L F2 D2 L2 D2 R' F2,R B' L R' U L',B' R' U' F' U F U F' R B R' F R,U2 L' U L U L2 D' B' U' B D U L2,56
R2 L B2 U D F B U2 B' U' D' F B' U2 R' D2 L2 B R' D,x2,R2 B U' F' L F2,D2 L2 F' L' B' D2 L' F,U B2 U F2 U B2 U' R D' R' F2,D U' L D2 U2 B2 D U' L2 B',B2 R' D2 U' B' R B' R' B2 D2 R U B2,R B' R' B' R2 F D B D' B' F' R2 B2,61
U2 L R D' R2 B' L2 D2 B' D2 F2 D U' F2 B U D2 F' L2 B R F2 R2 F2 U',x2,B D U L2 F,L' R' B R B' D2 L B2,F' L2 U' L' B2 U L' B' U' B U F,L U' L' R B R',U' R' F D' F L2 F' D' B' D2 F' U R',L' U' L' D' U B U B' D U' L2,55
U' L U F2 R' B' R' U' R U2 D2 L' U' R D U' F R L2 F2,x2,R2 F' L F U,L' D L' R' F L2 R,R2 D2 B F' D B D B2 D2 R2 B',B L R' U' L' R,U2 L' B' U2 F U' B U F2 L' F L,R' U R2 D2 L' R' F' L F R D2 R' U',54
U R' B R' U R B' F L D B2 L2 U F D R D' L F2 U2 D' F' L R',x2,B D' R U2 L2,B F R U' L U R2 F',F' U' B' L B L' B U F,D U' L D2 U2 B2 D U' L2 B',R U' R' U R2 U F D' F L' D F U' F,R2 B D' U R' F R D U' B' R,57
R F D' U F' D R' L2 D2 L' F2 D F2 L' B' F2 L' D2 R D' U2 L2 F',x2,U R' B2 L',F U B' D' B' D L2 F',U' B D R' U F' U2 L' U2 R D',B L R' U' L' R,U2 B2 L2 U2 B' U' L U' L B' L B' U2,B L B' F U2 B F' L B',51
D B R' U2 L2 B2 U2 D R' D' U R' U D' L' F' L2 R D2 B' R,x2,D' L2 R D',D' B L2 B2 L' B U L' D2 B2,U F' L U L2 B U' L2 U' F,B D U' L2 D' U B,B' L' B U' B' U2 R' U' L U' R U B,L2 D' U B2 F2 U F' D2 U2 B D' R2,56
B2 R2 B2 L2 U B R2 D2 L2 B R' F2 R F' L R' U' F' D F B L2 U2 R' F',x2,R B' D L2 R,B' F2 U R' D' F2 U' B D',F' R' U F D' B D R B' U' F2 R F',L2 B' D U' L D' U L2,U2 R' F2 L2 U2 F U L' U L2 F2 R,B' F' D B2 R2 B2 D B F D2,57
B' D' U2 L R' U R F B' R2 B R' F' R2 F D F L D2 F,x2,L2 U L F2,L' R F D B2 R' U2 B D',D L F2 L2 R2 B2 U L F' D' F' R2,B L R' U' L' R,U F D2 U2 B' U' B D2 U2 F',L2 D' U B2 F2 U F' D2 U2 B D' R2,53
D F2 B' R U R D' B' D R' F' R2 F2 R' D U' R2 F L U2,x2,B D' L' U' F,U' B U F2 D F2,R2 U B' F2 L' B D2 U' R2 D',D U' L D2 U2 B2 D U' L2 B',U' B2 U' B' D' B2 D2 L U' L D' L U',R B U' B2 F2 D B' D' B2 F2 U R',56
R2 B D' R2 F' D' B' D' U R L2 D R' B' R' F R2 D2 L2 B,x2,R B D' R' F' L,B' L' R' U2 L B' R D',D2 B' U2 F' U R U' F U2 B D2,D U' L D2 U2 B2 D U' L2 B',,B2 L' B' F U2 B2 F2 D' B' D B' F L' B',49
F2 U D' F2 U R D R' L' D' F' D R2 B2 D2 F2 B R' D R B' R F' B2,x2,U' R2 F U R,L2 B D' F U' B2 R U' F',F D2 L2 B U' L U' L D2 R2,D F2 U2 R B2 U2 F2 L D,R2 D' F' U' R2 D2 B U' B D' B U2,R2 B' D2 L U2 F2 D2 R U2 B' R2,56
L2 R2 D' L B2 R' D' F2 R2 B2 U2 R F U F2 L F2 U2 B U R D2 F',x2,D R D B' U',U' B D2 U2 B2 D L2,L2 D' F R U F R2 F2 D L' B L',L U' L' R B R',R' U' R' F D R' B2 D' R2 F' R U2,U' L' U' L U2 L2 D' U' B' U B D L2,55
B2 L' U2 L2 B' L R' F B U2 D L' B2 U' R' D' F' U' B2 R,x2,R D' F' L2 D',D' B F L2 U' F' L' D L',D' L D L2 U R' U2 L R2 D R',B' L R' U L' R,L2 U' B' U2 B L U B L2 B' L,U2 L' U L U L2 D' B' U' B D U L2,55
L' U' R2 D U' L D F2 B2 R2 B' U B U' L' R D' L2 U' R2 D U',x2,D2 U R',B' R F' R2 F' R B' D,D2 F' R' F L' B' F2 D B' R' U2 F2,L U' L' R B R',U R D2 L D2 B2 R' B2 U2 B' U' B2 U2 B',R2 B' D2 L U2 F2 D2 R U2 B' R2,54
