scramble,orientation,cross,pair_fr,pair_fl,pair_bl,pair_br,1lll,total_moves
B R' L2 U' B2 D F' L2 F' R B' R' U B' D2 B2 R2 U' R F' R U F2 U2 B,,F' U' F2 L U2 F,B2 L2 B2 L2,L2 F2 L2 F2,F' R' U2 B2 D' U2 R D2 F,R2 B2 R B2 L' D2 L R,R' D2 R' U F2 U' R D2 R' U F2 U' R2,44
L F R2 D' L R' B' L' B' D U R2 D U' L F' U2 L' U D F L,,L2 U L B' F2 U2,,B F' D' B' F,U L' D L' B' L2 B D' U',B2 D2 R' D' R D' B2 D',D B D B U' B D B' U B' D2 B2 D B,42
R U L2 D2 B2 L R' F2 D2 B U2 D B L R2 D' U' L R' D2 B',,B' D2 F2 U B2 F,B R2 B' R2,R2 B D2 B' D2 R2,U B D2 L D2 L' D' B' U',U F D' F' D U',F2 U' R2 B R' B' R2 U F2 D' R D2 R' D',45
F U' R' U2 B' R2 D B U' R2 U2 F2 L R2 F' D' R2 U' L' B' L' F' R U D,,D2 B2 R F' L,R B R' B' D' R',B D F' D2 B' F,D' U2 L U2 B F2 R B' F2 D2,D R' B R' B' R D' R,B2 D2 B' R' B2 R' F' R2 B D' R D F D' R',50
B' L R' D' F D L' B2 U B' U B R2 D U B L U' R' U',,B' F' U' F L,B' D' B,D2 B D' B',U B D F' D2 B' F U',F' R B R' F R B' R',F' D' R' D R B F D2 B2 L B L' B D2 B',43
F2 U2 R D R' U' D2 L R2 F2 R L D' F D' F2 U B2 F' U D' F R' L,,L2 D B' L R B' F,R D2 R',B D B',F D2 U L2 D' L U' F',D' B' D' R' D' R D B D,D' L2 B' D' B' D' B D2 B' D' B2 L2 D,43
U F' R' U' R F L U F' U' R L U' D R' L' U' L' R U D,,U L' B2 R' B L,R D R',D2 L2 B' L2 B,F' D' L F2 L F' L2 F' L' F2,D R' D2 R F D F',B' D' F' D2 B D R2 F2 L' F R2 F2 L D2,45
L' B R2 F2 R2 D B' F2 D U' L B D L2 U' R' B' D2 L2 U' B' L' B R,,B' F2 R' U B',B' D B,,D' U F2 L' F2 D2 L D2 U',F2 U F' L F L' F U' F,U R' D' R D B R' F' R F R B' U',39
U D2 R' L F' L2 B D L' F D' L2 R2 D2 L2 F' D2 R' F U' B' D2,,L' B2 U' B' L' R',R2 B R2 B',B F' D2 F D' B',L F D2 L D F L F2 L',F2 D F' D F D2 F2 D,F' R F L D2 F' R' F R D2 L' R',45
R D2 F' B' U2 D F2 R2 F' D' L2 F2 R' D' L U2 D L2 F R' D2 R B,,B' U' F' R B,L2 B2 L2 B2,L' D' L,F' D2 F L D L' D2,U L2 R' D' R D L2 U',D F L B D2 F' D B' D' F D2 L' F',40
R2 L' U' B2 U F2 D F2 L2 R D2 L' B' U' L' B' L2 B R2 L U' F2 U',,L2 B' D L' F,B U R U' B',B D2 B',D2 R2 B L2 R2 B L' D L' B',F L D L' D2 F' D2,F' R U L2 F2 D2 F' D2 F' L2 U' R' F,43
F U' R' B' L' R D R2 B2 L F' U D L2 B2 R' U' F U F2 B,,R' F' L2 B' L U,F' R D R' F,B R' D2 R B',D F2 R' D' R F' D F2 D',F2 U F' L F L' F U' F,L R' U' B U L' B R B2 L' D' L D' B,48
L' D B R U2 L B L2 R2 B F R2 L B2 U L' U2 D' R2 B' L,,B L R2 B2 U' B',F' R D R' F,B D' B',R' B L R D L B L2 B' D,R' D2 R D2 R' D2 R,B' L' D' L2 B R' B R B L' B D' B D',45
L U D' F2 U B2 R' U D' B2 U2 F' U F2 D' U' R2 L2 U R' U' L' R' B2 U2,,L R' B' U' F2,R D R',L' D2 L,D U2 L' U2 F D2 U2 L U2 F',F2 L D L' D' F2 D,B' D B2 U2 F D' R' D R F D F2 U2 B' D',43
U2 L2 B' F U R L D' L2 F2 L2 B2 R2 D' U' F' U' R' D F R2 L2,,B L B2 U' R2 B',B U R U' B',B R D2 R' B',D2 F2 L F2 D' U' F2 U L',F D F' R F' R' F D',R F' L D F D2 L D2 L' D F' D2 L' F2 R',48
R U F2 L' B' U2 L2 B2 R U' F' B2 D' F' L D R2 U2 D' F' B2,,U F2 L' U' L,R D2 R',,U L2 U' F R D F2 D' R',D' B' D' F D B F' D,D' B2 U R D2 R' D2 U' B2 L' D2 L D',38
F' B D2 B U' D2 L R U2 R' L' U2 R' D' B D' U L2 D' L D2,,D' F L' B' U2 B' L',,R2 B D2 B' D2 R2,F U F L' F2 D' F D' U' F',D2 F D2 F' D' F D F',B' D B D' B' D2 B' L B' R' B2 L' B R,45
L' D2 B' F' D' F' L F2 R2 F B U2 L F L2 F' B U2 D' R F' U L2,,L2 F' L' B2 U' B,B U R U' B',L' D2 L,D F D' B F' L D2 L' B',D2 R' B' D' B2 R' B' R2 D,D' B2 D' B2 D' B2 D2 B' D R D' R' B',45
D R B2 L B2 U' L' U' D R U2 D2 B U2 D' B F' L' R D2,,D' F' U R U L2,B' D2 B,B D2 B',L' U' F U L2 D' L',D R2 B R B2 D' B R,R' B R B' D' L B D L B2 L' D' B' L',41
U2 B R2 B2 F L2 D2 L2 D F2 L2 D' B L' U D' L B L2 R2 F',,D2 F' L2 U',B U R U' B',L' F D2 F' L,R U2 L U2 R' B L D L' B',F D2 F' R' D' R D2,D R D' R' B R2 D B' R B D' R B' R,45
R2 L B2 U D F B U2 B' U' D' F B' U2 R' D2 L2 B R' D,,L2 F' D B' L R',R D' R',L' D2 L,U' L' D2 L U L D' L' D',D' B' D' R' D' R D B D,B F U2 F R F' R2 F R F' R U2 B' F',44
U2 L R D' R2 B' L2 D2 B' D2 F2 D U' F2 B U D2 F' L2 B R F2 R2 F2 U',,L R B2 U' B' U',B U R U' B',L' D' L,L B R' D' R B' F2 L2 F2 L',D R2 B R B2 D' B R,B F' U2 R F2 R2 U2 R U2 R B' F' R2,45
U R' B R' U R B' F L D B2 L2 U F D R D' L F2 U2 D' F' L R',,L B2 R2 U' L R',R B D' B' R',D2 L2 B' L2 B,L2 D L U' F' D2 F' U,B R' F' R' F R B',B' R D2 R2 B2 D' B2 D B2 R2 D' R' D' B,45
B D' L' R' F' U' D2 B2 R' U F' B' L2 B' F U D' B2 D' F2 D L R2,,R2 U2 F' D' B R',L2 B2 L2 B2,L' D' L,D2 U F D2 L' F2 D' F D2 L U',U F D' F' D U',R D' R2 B R' F' R' F2 R' B' R D' F' R' D',45
U' L U F2 R' B' R' U' R U2 D2 L' U' R D U' F R L2 F2,,F' R B U2 B' U,,R D L' D' L R',U B R' D R B' U',R2 B2 R B2 L' D2 L R,U B2 U' B F U F' L2 F L2 U' B F U' F2,42
D B R' U2 L2 B2 U2 D R' D' U R' U D' L' F' L2 R D2 B' R,,D2 U' F' L R U2,,L2 B' L2 B,F2 R2 U2 L B' U2 R2 F2 D2,R2 B2 R B2 L' D2 L R,L2 R2 U2 R B U2 B' U2 L' B L' R,39
R F D' U F' D R' L2 D2 L' F2 D F2 L' B' F2 L' D2 R D' U2 L2 F',,U' R' D2 F2 L2,R D' R',B F' D2 F D' B',F R' D2 U L U B' D U2 R,D2 F D2 F2 R F R',L D B L' B2 L2 B2 L' D' L2 D L2 B' L',45
B2 R2 B2 L2 U B R2 D2 L2 B R' F2 R F' L R' U' F' D F B L2 U2 R' F',,D B L' R F,B' D' B,B D F' D2 B' F,R F2 R2 D' R D F2,R' D' B' D B D2 R D',B' F' D B D F2 L2 U2 B' U2 L F' L D2,43
D F2 B' R U R D' B' D R' F' R2 F2 R' D U' R2 F L U2,,U' L2 D' B R' F' L2,R D R',L2 F2 L2 F2,L B F D B2 L' B F' L',R' B R' B' R' F' R' F,B' D' B F' D2 F L2 U B' U' L2 D,43
B' D' U2 L R' U R F B' R2 B R' F' R2 F D F L D2 F,,B' D2 R' B U' R' F,R D' R',D2 L2 B' L2 B,F D' U F D' L F L F2 U',F' L2 D' R' D L2 R F,B' L' D' L D' B F D F2 U' R2 U F D',47
L' U' R2 D U' L D F2 B2 R2 B' U B U' L' R D' L2 U' R2 D U',,L B' U' R2,R D R',B R' D R B',F2 R F' L2 F' L R' D L,D' F D F',B2 F2 U2 L B' F U2 R2 B' R' F R' D2 R,39
B2 L' U2 L2 B' L R' F B U2 D L' B2 U' R' D' F' U' B2 R,,L' D R2 B' L' F,R D' R',F' D' B D B' F,L' F L R F R' F',F U2 L D L' U2 F',F' R2 B R2 U R2 F R2 F' R' U' B' R' F,43
F2 U D' F2 U R D R' L' D' F' D R2 B2 D2 F2 B R' D R B' R F' B2,,U B2 F' L U R,,,U' L' U B D L B' D L',D R' D' R D R' D' R,U F2 D F2 U' R' D2 R D R' D R' D2 R2,37
R2 B D' R2 F' D' B' D' U R L2 D R' B' R' F R2 D2 L2 B,,R' F' U B' R' U2,R B R' B' D' R',D2 B D' B',R2 D F' R D' F R2 D,F L D L' D2 F' D2,R F2 D L D' F R' F D F2 L' F' D' F' D',46
L2 R2 D' L B2 R' D' F2 R2 B2 U2 R F U F2 L F2 U2 B U R D2 F',,U R F D F L',,B R' D R B',U2 F' L' D2 L F D2 U2,D' B2 D2 R' D' R D' B2 D,D' R' D2 F D B R2 B' R2 D' F D' F2 D' R,43
