scramble,orientation,cross,pair_fr,pair_fl,pair_bl,pair_br,oll,pll,total_moves
F U' R' B' L' R D R2 B2 L F' U D L2 B2 R' U' F U F2 B,x2,D2 U' R' D F L,F2 U B' U' B F2,U2 L' B U L B',R2 D2 L' D2 R2,U2 F D' R U R' D U F',U L2 B L U B2 U B2 U2 B' L,R B L R' F L' R B' L R' F' L',55
R D2 F' B' U2 D F2 R2 F' D' L2 F2 R' D' L U2 D L2 F R' D2 R B,x2,F' D' B' R F,U L2 F2 L2 F2,L' B U L B',D' L U' L' D,B2 L F' L' B2 F2 U F',U2 B L B D F L' F' L D' B2,R2 B U' B2 D B2 U B D' B2 U R2 U',52
L' B R2 F2 R2 D B' F2 D U' L B D L2 U' R' B' D2 L2 U' B' L' B R,x2,B2 F' R' D F',B U' B2 R2 B R2,D' B U2 B' D,D' B' U' B D,L' D L U' L' D' U L,U B D L D' B2 R' U' R B U2,R2 F' D2 F R2 U B U B2 L2 B2 U' B' U',54
L' D B R U2 L B L2 R2 B F R2 L B2 U L' U2 D' R2 B' L,x2,F' D B' D R' D,F' U2 F2 D R D' F',U2 B' U' R B R',D' B' U2 B D,R' U L' U2 L U R,L' U2 L B F U' F' U B' U2,R U B U' B' D2 L2 B L2 D2 R2 U' F U R,56
B' L R' D' F D L' B2 U B' U B R2 D U B L U' R' U',x2,B' F' D' B L,F' L' U2 L U' F,B' F U2 F' U B,D' B' U' B D,R2 F' D' F' D F2 R2,B' D2 U F U' F' D2 B,F' L' B' L F L' R' B L B' R B,49
D' F' D U2 F R2 L' D2 U' F' B2 L' B2 F U2 L2 R D R' U' L2 U L,x2,B D' F' D' B,U R' D2 L' D2 R,R' U2 R B' U B,D' B' U2 B D,R2 U F U2 B' R2 B U F' R2,F U' F' U2 F2 R' F' R F',L U2 L D L' U2 L D' L2,50
F U' R' U2 B' R2 D B U' R2 U2 F2 L R2 F' D' R2 U' L' B' L' F' R U D,x2,B2 L' R' D2 B,U' R U2 R',B U' B2 L' B L U' B,D' L U L' D,B L U2 L' F U2 F' U2 B',F U F2 L' R2 U' L U R2 F U,B' U F D' F2 U' F' D' F' D2 B R2 F',55
U2 B2 F R B' F U' D' B2 R U R2 D' L' B2 D2 F U B L F' D2 R' U' B',x2,L D B L2 F' D',L U2 F2 L' F2,B L' U B' L,D' L U2 L' D,U L' D B' U' B D' U2 L,U' R B2 D L' D' B2 R',R' U2 R2 B D2 F' U2 L2 F D2 B' R,50
L' B L' U2 L2 R B2 F' R' U' D' R' L' U' B' L' U' L2 F2 D2,x2,U2 F' L R' B D' L,F U B' F2 U B F,B' U L' B2 L B,D' B' U B D,F U F' D2 L' U L D2,B2 D2 F2 R F2 D2 B2 L,L' U2 L2 B R2 F' D2 L2 F R2 B' L,53
R U2 L R2 D' L2 R D2 U B U2 R U' R D F' U F B2 L' D2 U2 L2 B2,x2,F2 D2 U L' R2,F D' L2 D' U2 B D2,L' U2 L2 U' L',R2 D2 L' D2 R2,R' U2 F U F' U R,B L B L D' B D B' L' B2 U,L U2 L' B2 R B R F R2 B R' F' R,53
B R' B' L U D2 B' L U2 R' D2 R B2 R2 U' D' F2 D2 L2 U D R2 L' B2 F',x2,D L D2 B L' D,B' U2 R' D' F' D R B,B' L' U2 B2 L U' B,D' U' B' U B D,U' L' D B' U' B D' U' L,R' U L' U' L R F U2 F' U,F' L2 B2 D' B' D B' L2 U2 F U F' U F,60
B R' L2 U' B2 D F' L2 F' R B' R' U B' D2 B2 R2 U' R F' R U F2 U2 B,x2,B' D' L B2 D2 B',B' R2 B R2,D' L R' U L' R D,D' B' U2 B D,U' B2 U L' U' L B2,B D U L' U' L D' B' U,F2 L2 F' R2 F L2 F' R2 F',47
L F R2 D' L R' B' L' B' D U R2 D U' L F' U2 L' U D F L,x2,L D' U2 R2 B F2,R F R' U' F' U' R',L U' L2 B2 L B' U B',R2 D2 L' D2 R2,L' U2 L,R B2 D L D' B' U B' U' R' U,R2 B' U B2 U' R2 U R2 B' R2 B' U' B,53
R U L2 D2 B2 L R' F2 D2 B U2 D B L R2 D' U' L R' D2 B',x2,F U2 B2 D' B F2,B' D2 F' D2 B,B' L' B2 U' B L B,,B2 L' B' U2 B' U' B2 L B2,L2 U2 B L U L' U' B2 U2 B L2,R' F R B' R' F2 L' F R F' L B F,51
R D L2 F2 D2 U F D B' L R2 U2 B' U2 L F' B2 R' D R',x2,L' D L R' D2,U' L2 R2 B' R2 B L2,B' U2 R B R',,U' L' D B' U' B D' U2 L,U2 B' R2 D' F2 D R2 B,U2 B' R B R F' L2 D2 R2 B' R D2 L2 R',48
R' F2 L B2 D' L2 B2 R' L U D' B U D R2 U' F' B R' B R' F2 R',x2,R' D L F D' B,B U B2 U2 R B U2 R',L' B2 L B' U B',D L B L' B' U' L' D',D2 L' B' U2 B L D2,U' B L2 U L' U' L2 B' U',F U' B' U F' U' B U,52
L' D F' U2 L' D F2 B' R' D U B2 U D L2 B2 R2 F B' L' D R',x2,L2 D2 R2 B L' F',R U' R2 D2 L' D2 R,B' U L' U B L B,F' D' L D F,U' L' D B' U2 B D' U' L,F U F' U' L' U2 B' U B L U2,F2 R2 F L2 F' R2 F L2 F,54
U2 L2 F' U2 D2 R B2 L' B R2 L B2 U F B L' D2 B' F D F2,x2,L D' F L R B F',F U B' F2 U B F,L' B2 L B' U B',D' L U2 L' D,U' L' D B' U' B D' U2 L,U' L' U2 B' U B U2 L,L' U2 L2 B R2 F' D2 L2 F R2 B' L,54
B L R2 F' D' L' D' U' B D' U L D L B D2 R' F R2 L U' B R',x2,L' U2 L' D2 B F,L D F' D' L',R' B' U' B R,D' B' U B D,F D' F' U' F D U2 F',L U2 B L' B' U2 L' U',U2 L F' L' F U2 L2 B' R B' R' B2 L2,50
R F B D2 R' B L D B L' D L F' B' R2 L2 U' R F' L U L2 D',x2,L' R D2 B' F',R F R' U2 F' R',U2 L2 B L2 U' B',D' L U' L' D,R' U2 F U F' U R,U2 B' R2 D' F2 D R2 B,R2 F2 R' B' R F2 R' B R',46
L U B' L' F' U L' F' U L' F D' R2 U F D' F2 L2 B R' F',x2,D2 B L D' F' D2,B2 D L2 D' R2 B2 R2,U B2 L' B2 L,,U' L R2 F' L' F R2,L U F' L F U L2 U' L' U' L',F U2 F D F' U2 F D' F2,45
F B2 R L' F L' R2 U2 B' D2 R2 D' L' D B' L' F L2 R' U F2,x2,F' D' F2 L' R' F',U2 R2 B' R' B U2 R',R B' R' U2 B,D' L U L' D,B U F2 U' B' U F2,U F R U R' U' F',L' B' R B L B' R2 F' R B R' F R,50
B2 F' L' D2 F2 L' B U2 B' U2 F L B2 U' B2 U R2 L' F' R2 D2 L2,x2,R2 D2 U R2 B,U' R U R',B' D L2 D' L2 B L2,D' B' U B D,R2 F R U R U2 R2 F' R2,F U' F' L F' L2 U' L U F U2,B F2 D2 B' R D2 F2 U2 L B' L' B' L U2,55
L' R' U' R' B2 D' U' F' U B U F' U D B2 U2 B' D' B2 F2,x2,L' B' L2 B F',D R U R2 U2 R D',F U R B2 R' B2 F',,B2 U' F U B2 U F',F U R B U2 B' U' R' F',U2 R' F2 L' F' D2 R2 B' R B2 R D2 F' R,49
D R B2 L B2 U' L' U' D R U2 D2 B U2 D' B F' L' R D2,x2,U' B' D R D L2,U F U2 F2 U' F,L2 B2 L2 B2,F' D' L D F,R2 F2 R F' U2 R' F' R2,U2 B L2 U L' U' L2 B' U',R B' R' F R B R' F',46
L' D2 B' F' D' F' L F2 R2 F B U2 L F L2 F' B U2 D' R F' U L2,x2,B' L' F2 D B D2,R U R',L B U2 B' U L',D L B L' B' U' L' D',B L U2 L' F U2 F' U2 B',U L' U2 B' U2 B U2 L U',R' U2 R2 B D2 F' U2 L2 F D2 B' R,53
R U F2 L' B' U2 L2 B2 R U' F' B2 D' F' L D R2 U2 D' F' B2,x2,D B2 L' D' L,R D2 B' U2 B D2 R',R' U B' U B R,D' L U2 L' D,U' L' R' B' U B L U' R,B2 D L D' L' B' L B' U,L F' L' F U2 L2 B' R B' R' B2 L2 U2,54
F' B D2 B U' D2 L R U2 R' L' U2 R' D' B D' U L2 D' L D2,x2,D2 L2 R' B2 F D B,B U F' U' B' F,B2 U' B2 U B2,F' D' L D F,U2 F U' F',L' U B' U2 B U L F U F' U2,R' F D2 R' B2 R' B R2 D2 F L F2 R U2,52
U R' B R' U R B' F L D B2 L2 U F D R D' L F2 U2 D' F' L R',x2,L R2 B2 D' L' R',R B' U' B U2 R',L' D' B' U B2 D L,R2 D2 L2 D2 R2,B2 U' F U B2 F',B U L2 U B' U' B L' U' L2 B',R2 B2 R F R' B2 R F' R,50
B D' L' R' F' U' D2 B2 R' U F' B' L2 B' F U D' B2 D' F2 D L R2,x2,R2 D2 F U B' R,L F2 L' F2,U B U2 B2 U B,D' L U2 L' D,L' R' B' U B L U' R,U' F U2 R U' B U B' U' R' U F',L2 D' L2 D F' L2 U L2 U' F2 D F' D',54
U2 B R2 B2 F L2 D2 L2 D F2 L2 D' B L' U D' L B L2 R2 F',x2,D2 R2 F D,R2 B' R2 D' R D B,B U' B2 F U B F',D' L U' L' D,F U F' D2 L' U' L D2,F' L2 B L B' L F U',U B F D2 F' U' F D2 F2 U B' U' F,52
U' L U F2 R' B' R' U' R U2 D2 L' U' R D U' F R L2 F2,x2,B' R F D2 F' D,U R2 U2 B' U2 B R2,U' B2 L' B2 L,D' B' U' B D,L' D B' U2 B D' U L,F L U2 L2 U' L U L U2 F' L',B' F' U2 B L2 F2 R' F L' F L' F R,55
R2 L B2 U D F B U2 B' U' D' F B' U2 R' D2 L2 B R' D,x2,U L2 B' F' L R',U R' U R2 U R',B' F U2 F' U B,D L B L' B' U' L' D',U2 R2 F' L F L' R2,L' B' U' R' U2 R B U L U',F' L2 B L' F' L B' L' R2 F L' F' R2 F2,57
U2 L R D' R2 B' L2 D2 B' D2 F2 D U' F2 B U D2 F' L2 B R F2 R2 F2 U',x2,F2 D B' D L' R',U' R U F R F' R',B U2 L' B' L,D' L U' L' D,L' B' U2 B L,U' F' L F L' F U F',R' U R2 B' R D' F R F' R2 D R' B U',50
R F D' U F' D R' L2 D2 L' F2 D F2 L' B' F2 L' D2 R D' U2 L2 F',x2,D' U2 B2 L' R',L' U L2 F2 L' F2,L U2 L' B U' B',R2 D2 L' D2 R2,R2 F R2 U2 R' U' R' F' R2,U' L' U L U2 F U2 F' U2,F2 D F' U2 F D' F' U2 F',49
B2 R2 B2 L2 U B R2 D2 L2 B R' F2 R F' L R' U' F' D F B L2 U2 R' F',x2,U L' F R B,L D F' D' L',B U' B L' B2 L,R2 D2 L2 D2 R2,U' B2 U L' U' L B2,F R U2 R' U2 F' U2 L' U L,L F2 L B2 L' F2 L B2 L2,47
R2 B D' R2 F' D' B' D' U R L2 D R' B' R' F R2 D2 L2 B,x2,R' B' D F' R' D2,R' U B' R' B R2 U R',L U R' U' L' R,D' L U2 L' D,D2 F U2 F' D2,U' F U2 R U2 R' U2 F' U',R2 B2 R F R' B2 R2 B' R' F' R B,51
D F2 B' R U R D' B' D R' F' R2 F2 R' D U' R2 F L U2,x2,D B2 L D B F R,L U F2 L' F2,B U' B2 L' B L B,D' L U2 L' D,U B U2 F U2 F' U2 B',L' U2 F' L' B L B2 F U B L,B2 L2 B R2 B' L2 B R2 B,52
B' D' U2 L R' U R F B' R2 B R' F' R2 F D F L D2 F,x2,F' U2 R' F D' R' B,U B' R U2 R' B,U' L2 B L2 U' B',D' B' U2 B D,U' L' D B' U' B D' U' L,L' F' L2 U' L' U L2 F U2 L U,L R B R' F R B' F' L' F R' F',56
L2 R2 D' L B2 R' D' F2 R2 B2 U2 R F U F2 L F2 U2 B U R D2 F',x2,D R B U B L',D B U2 B' D',R' F U' F' R,D' L U' L' D,D2 L' D U B' U2 B D' L D2,R B' U' B2 D L2 D' U2 B' R' U2,U' B' U F U' B U F',50
D B R' U2 L2 B2 U2 D R' D' U R' U D' L' F' L2 R D2 B' R,x2,D' L U2 B' R D2,B F' U' B' U F,U B2 L2 B2 L2,D' B' U' B D,R2 F U' B' R2 B U2 F' U' R2,L' F' L2 U L2 U' L2 U' F L,B' R' F R2 B' L B R' B' L' B2 R' F' R,56
F2 U D' F2 U R D R' L' D' F' D R2 B2 D2 F2 B R' D R B' R F' B2,x2,D F2 L B' D R,F2 U B' U' B F2,B U L' B' L,D' U' B' U B D,R' U2 R D2 R' U2 R D2,L' U2 L U' L U F U' F2 L' F U2,F R' F L2 F' R F L2 F2,52
L' U' R2 D U' L D F2 B2 R2 B' U B U' L' R D' L2 U' R2 D U',x2,L F' D' R2,L' U' L2 F2 L' F2,B2 U' B' U B U2 B,D' B' U2 B D,U' L' D B' U' B D' U2 L,L' U' L U' L' U2 L U',U2 L' B' R' U2 R B L2 F' L' F2 U2 F',52
B2 L' U2 L2 B' L R' F B U2 D L' B2 U' R' D' F' U' B2 R,x2,L' U R2 F' L' B,L2 R B L2 U' B' R',L' B' U B' L B' U B',D' U' B' U B D,D2 L' U B' U2 B L D2,L U' F U' B F' L B' U L' U',D F D' F2 U L2 U' L2 F D' L2 D L2,59
