scramble,orientation,step_0,step_1,step_2,step_3,step_4,step_5,total_moves
L' D F' U2 L' D F2 B' R' D U B2 U D L2 B2 R2 F B' L' D R',x2,U R' B F',F R2 F' U F2 U2 R2,D B2 U B D' R B D2 U',B' F2 L' F' L2 U' F U B F2 D2,D2 U' R' D R B' U2 B2 R B' D B' U2 B U,,46
B2 F' L' D2 F2 L' B U2 B' U2 F L B2 U' B2 U R2 L' F' R2 D2 L2,x2,L' D2 B' F' U2,B' R' U2 F' L2 F R,D2 R' F2 R2 F D2 R' F R,L' F2 L B' F2 L B F D' F',F2 L D' L' F' R' B' D B R F',B D2 F2 D' F D F D2 B' L' F' L F,55
L' R' U' R' B2 D' U' F' U B U F' U D B2 U2 B' D' B2 F2,x2,B F' U L' F,D2 F' U R2 D2 U',D' F2 U2 R D U F' R2 U,F' L2 F D F' L2 F D',L U B' D2 R' U F D' F D2 R U2 B' D,,42
R F B D2 R' B L D B L' D L F' B' R2 L2 U' R F' L U L2 D',x2,D' R2 F' L,L2 U' L2 R' F R U,L' F2 U2 L B R' U B' F2 R,B2 F' R U R' B2 R F R' D',B' D2 U2 F2 D2 B' D2 B U2 B' D' L D' L',,45
L U B' L' F' U L' F' U L' F D' R2 U F D' F2 L2 B R' F',x2,R' B2 F' U' F,B2 D L' B2 F L2 D L2,F' R D R' F L B' L',B U2 L B2 L D2 B F U R2 F,B' L2 U' F L D F' U2 R' D' U' L' B L2,,46
U2 L2 F' U2 D2 R B2 L' B R2 L B2 U F B L' D2 B' F D F2,x2,B2 U B R',B2 F' L' D F L' B2,R2 B U' L B D2 F2 D' B2 U,R D2 L U2 F' U2 L' D2 R',F2 D' L2 R2 U R' B L' B' L U L2 R' D F,,45
F B2 R L' F L' R2 U2 B' D2 R2 D' L' D B' L' F L2 R' U F2,x2,F2 U B U2,R B L B' R2 U' R,D' R' D' R' D2 R2 D2 R2,R2 B2 R B' U R' B' R U' R' B' R2,D' U R' D' R U R2 F2 R F D2 U2 L' B' L,B D2 F2 D' F D F D2 B' L' F' L F,59
D F2 B' R U R D' B' D R' F' R2 F2 R' D U' R2 F L U2,x2,D F R2 B2 R',L' B2 U B' L2 B2 L' U',D' R' D2 F2 R' F2 R D',D2 R' B' D' B' L B D B R D2,F' L B' L' D' B' D B F,,41
D B R' U2 L2 B2 U2 D R' D' U R' U D' L' F' L2 R D2 B' R,x2,U2 F R D',B2 L2 B2 D' R' U' R D,R' B2 L2 F L U2 B2 F' D R,D R U2 L R B' R2 F' D' L',R' B R B2 L' D B' D' R' B L R B2,,45
R2 B D' R2 F' D' B' D' U R L2 D R' B' R' F R2 D2 L2 B,x2,U' B R' U',L2 D2 U' L2 R F2 U,R2 B L' D2 R B' D2 R2 B' D2,R' B F L' U L2 B' U' F' R D',D B' U2 F' U2 L2 B' L2 B D' L2 B2 L2,,45
F2 U D' F2 U R D R' L' D' F' D R2 B2 D2 F2 B R' D R B' R F' B2,x2,B L F2,D' R U R' B2 D L B2,R' D2 F2 R2 U F' U' F' R,R' B' D2 L' D2 B D2 L R D2 L',D' L B D' L2 U2 F R2 U2 F L F',,43
R F D' U F' D R' L2 D2 L' F2 D F2 L' B' F2 L' D2 R D' U2 L2 F',x2,F L' B' U,L' B U L B2 U' B2,B2 R' D R B L D' L2 B,F' L U' B F2 R2 B' F2 U L' F,U' F2 L2 B' U B' D' R2 B2 R' B' L2 R D,,45
L' U' R2 D U' L D F2 B2 R2 B' U B U' L' R D' L2 U' R2 D U',x2,F2 L2 U',R U2 F D' U2 R',L2 U2 B R2 U R U L2 D' F,B' L' F' D2 L' B' L F L2 B2,L2 B L' B D2 R2 D R2 D' R2 D2 B2 L',B D2 F2 D' F D F D2 B' L' F' L F,55
B' D' U2 L R' U R F B' R2 B R' F' R2 F D F L D2 F,x2,U' B D' F' U,L D F L' F2 D',R' D2 F' R2 D' F R D',R' D' L' B' L2 R2 F L' F' R2 D R,L' U R D' B D B R' D U F D' U2 L',,45
B2 L' U2 L2 B' L R' F B U2 D L' B2 U' R' D' F' U' B2 R,x2,L' U B R,D2 U' R' F' R2 D2 U,F' R' B' D F D2 B R2 D2 R,D2 F' L' F2 L B' F2 L2 B D F',D2 F' R D' L' D F' U2 F R' D' L F' D',,46
L2 R2 D' L B2 R' D' F2 R2 B2 U2 R F U F2 L F2 U2 B U R D2 F',x2,R D F' U' B,R' U2 R' U2 R2 F2,L F2 U L U B' U2 F2 L',R F2 R' F' D' F2 D2 B' F L' B,D' F' U' B U2 B' F2 R2 F' R2 D' U F' D2,B D2 F2 D' F D F D2 B' L' F' L F,58
B2 R2 B2 L2 U B R2 D2 L2 B R' F2 R F' L R' U' F' D F B L2 U2 R' F',x2,R2 F' D' L D,U B L2 B U' L2 B2,R' F' R D2 R2 F D R D,F2 D F2 D2 B' L F L' B D F2 D,F U F' D L' B' F' R' U' F R B L2 D' L',B D2 F2 D' F D F D2 B' L' F' L F,61
F2 B2 D U R L' F2 D2 B U' F' U2 F2 U' L2 F2 R2 F R U2 F,x2,D' B' U2 F U',L' B R' U L R,L' U2 F D' R U2 L' D B' L,D R' D B' L2 B L D R D' L',B' L' B2 L D' U2 L2 D' R' D2 U' F2 U' B',,46
U L2 B' U' D2 L2 R' U2 F2 L2 F2 B2 L' U' F R F' L2 U' B' L2 U F' D,x2,D L' U B,R' U R D2 F' D2,D2 R2 B R' B2 L' D2 B R2,B2 R D' U B' R B D U' R' B2,D L D' B D U' L' F' L' D' U L B,,43
R B' U' B F U' F U2 L' D R D2 R2 D2 B' D2 F2 R2 L B F' D L2 D,x2,B D L F R,U2 B U' L U' B',L B' L' U2 R2 F' R2 U2,B' F D' L2 D B F' L D2 L',F2 D2 F D2 F D L2 R U L2 R' F D',,42
L2 B U' F' U' B' L B' U' L B' R2 B2 R2 D2 R U D' B' D R',x2,L2 B' L' U F2,L' F2 D' F D B' F L,L R2 B U' L D B2 U L',R' B L' B' R2 F U F' R',L D B2 D2 B' D' B D' B' D' B' L' D',B D2 F2 D' F D F D2 B' L' F' L F,57
L2 B L F' R2 U' D' R2 F' U' L2 D' L U L B' D2 B2 D2 R' U2 L' B2 R F',x2,D U' B' R' F2,U' R2 U2 R' U2 R2 U,F2 U' R' D2 R2 D' F' R2 F U,D2 L D2 R' D2 L' D R D,F D' F U2 B2 D F' D B2 F R' D R F' U2,B D2 F2 D' F D F D2 B' L' F' L F,59
U L2 U2 R L F' U R2 U D F L' F' U R' U' B R2 D2 F U' L2 F2 D F,x2,L F' U',R U' F' D2 F2 R' F,F' D2 F,D2 B L B F' D B2 U2 F2 U2 F' D2,D L2 D2 L2 U' F2 D' L F2 L' D' U' F D2 U2,B D2 F2 D' F D F D2 B' L' F' L F,53
L' R2 D' F2 R' B2 R' U L R F' R' L F2 R' U D2 B' D' B,x2,F D2 L R F',R' D' R2 U R',R' F U B L' B' F' R,R B2 F' L2 U' L2 B2 F R',D B' R B2 R F2 U' R2 U2 F U' B2 F R' B,B D2 F2 D' F D F D2 B' L' F' L F,55
L' D U2 F D' R2 D2 L U L2 D' L' R' D' U R U2 R' L' U L2 B2 F2 R2,x2,U2 R U B2 R',U' R D2 U' R' D2 F U2,L2 B2 D B L U' L F2 U,D R' D R U' L' F' L D' U,R' D' U2 R F D' F2 L D' L2 B2 L D2 F2 D,,47
B L' F2 R' F2 U B U' F' R D' F' B2 L' B F R' B' U2 L R U' F B2 D2,x2,R' U B R2 U',D' U' L' U' B' F U2 L,F' U2 F' R2 F U R U F D',F2 D2 B2 F U2 R' F' R U2 B2 F,U R' D' R U' R2 D' L2 B' U B' U' L2 D R2,B D2 F2 D' F D F D2 B' L' F' L F,62
R2 U' R2 D' R' B' R' B R2 U' R' D' F2 L2 D2 B D' R2 L F U2 R' D2 R2 L',x2,D R B2 D2 R2,L2 B2 L D2 F' D2 L,U F' D2 R F U B R' B' U2,F2 R2 B2 L R2 D B D' B' L' F2 L2,U' L' U2 B D2 F R' D2 L B2 L' B' U2 B2 L U,,50
F2 U2 R D R' U' D2 L R2 F2 R L D' F D' F2 U B2 F' U D' F R' L,x2,U2 R F2,U' L2 U B2 D2 L2 F2,F' D' F D2 L D' L' D2,R2 B' U2 B R2 F' L2 F,D R' F D F' D' F' R D F D2,,37
U2 L2 B' F U R L D' L2 F2 L2 B2 R2 D' U' F' U' R' D F R2 L2,x2,D F' L U B,L' B' L F' L F L',L2 U2 B R B' R U2 L2 D2,B' L2 F' U B D B' U' B D2 F,D R' F' D F R F2 D' F2 D F D2 F,,45
L U D' F2 U B2 R' U D' B2 U2 F' U F2 D' U' R2 L2 U R' U' L' R' B2 U2,x2,F R',U' R' F U' F2 U' R U',R2 D F' D' L B' L' R2 F,R2 B' L' U2 B R2 F' L2 D F,D2 F' D L R U R U' L' R2 D2 F D',B D2 F2 D' F D F D2 B' L' F' L F,55
U D2 R' L F' L2 B D L' F D' L2 R2 D2 L2 F' D2 R' F U' B' D2,x2,F L2 D2,R' U R' F2 U R2 F D',B2 F2 U B D' L2 R B U',L' D' U' F D' U L' D2 L,U' R2 B2 U' B' U B' R2 F D' F' U,,41
L' B R2 F2 R2 D B' F2 D U' L B D L2 U' R' B' D2 L2 U' B' L' B R,x2,D2 B L U,B R' B' D R F',B' L2 B U2 R D R' U2,R' D2 B' L2 B D R B' L2 B D2,D L' F L F2 L' F L' R U L2 R' F D',,43
U F' R' U' R F L U F' U' R L U' D R' L' U' L' R U D,x2,U2 R' F2,R U F' R F2 U' R2,U2 F R D2 R' F2 R' F U2,F' D L2 F2 L2 D F2 L2 F',D L U' L U' F D' U' B2 D' R' U' B2 D,B D2 F2 D' F D F D2 B' L' F' L F,55
R2 L' U' B2 U F2 D F2 L2 R D2 L' B' U' L' B' L2 B R2 L U' F2 U',x2,R B L U2,U' L2 U2 L B2 U' L,D2 L D' L2 U2 R' U2 L D2,F' R2 U' L2 U B2 R2 D' L2 F',D2 F2 D' L' R U L R' F D F D' F D',B D2 F2 D' F D F D2 B' L' F' L F,57
R D2 F' B' U2 D F2 R2 F' D' L2 F2 R' D' L U2 D L2 F R' D2 R B,x2,R' D B' D2 U2,R2 U' F U2 R' F' R',L D L F2 U B2 U' F2 L2,F' L F' L' D2 L F L' F,L' U2 F' L2 B2 R B' D' R' B' L2 U' F U' L,,45
L' D B R U2 L B L2 R2 B F R2 L B2 U L' U2 D' R2 B' L,x2,R' D B' F R',F' U' R2 U' F' R' U2,F' D U' R' U F2 D F' D',F2 L D L' F2 D2 F D F2 D,L B2 U' B L2 D' L2 U B D' R2 B D2 B L',,46
F U' R' B' L' R D R2 B2 L F' U D L2 B2 R' U' F U F2 B,x2,L2 D' U2,R' F L' F' U L U' R,R' D2 L2 R B L' D L B2 L2,D' L R U F2 U' R2 B2 L' R D',F D2 L' R2 U2 L' B2 U B' U2 B' L2 R D2 R D,,48
D2 L2 F D2 B U L R B' D' R' D2 F' B U R U2 B' F2 U,x2,L2 D' R,B D' B' D U2 B' U2,U2 R D' L' F' L R' D U2,L2 R U' F2 L F2 U L2 R',D' R D B R' F U F2 U F2 U2 F' R B',,42
D2 L R' U F2 L' R F R2 L' D B' F2 D' R2 F' R U' F B L R' B R2,x2,U F L' R' U2,F U R U2 R2 U F',U' B' D' F L F' D' B D U,B' R' U B R' B2 R B' U' R B,L2 B' R' U B' R' U2 R' B U R B U L2,,47
B' U2 B D' R2 L2 D' L2 B' F U2 B' D2 B2 D2 L2 D2 U B D B U,x2,D2 R2 F',D F2 R2 U' F' R2,B U2 B R2 F' U2 B D2 F2,B F2 D2 B' F2 R2 B' U2 B R2,D2 F2 D' L2 U' L' F2 L U L' F2 L' D',,41
L2 R' B2 L D2 R' L' F B' R' B2 R D2 F D U' B' L R D2 U' R,x2,L2 R' D' B',F' L2 D' B2 D2 L2 F,R' F' D' R2 D' R2 F R D,R' B' D L D U B' U' B D2 R,L' U' L D2 F L D R' D' L2 R U L D2,,45
L' B2 U' D2 L2 B2 R B2 F2 D2 R' D L' R' U R' F B' L2 F D L B2,x2,B2 D2 F R,D2 B2 D U L U' B2 D2,F2 U' R D2 U F' D2 F2,B F D B' D F L2 F' D2 F',R' D' R B2 U B' D' F' D B F U' B2 D,,44
D R F D2 B2 D B D' F2 L2 F' R F' R2 B2 R2 U2 B F' D2,x2,B L D U,D F D2 L' B' L D,F' U' B' D B U F D',F2 R2 B2 L R2 D B D' B' L' F2 L2,D2 F D F2 D F L' F L D F',,42
F L2 U2 L B U' R2 U F' R' L2 U2 R2 L F2 B' D' F' D' U',x2,U2 B L' R' F',R D F2 U2 R2 D R F,B' D2 L2 D2 L D' L D2 B D2,B' F' L2 B F2 D2 L' F' L D2 F',R F' R' D' F' R U' F' U F U F2 R',B D2 F2 D' F D F D2 B' L' F' L F,60
F2 L U F' U D2 R U2 F B R U' L U' L U' L R' U D R B F D B2,x2,D' B' R B' U,R U2 F' D F' U2 R',R B2 R' B R B D' R' B,L' D R2 B' R2 F2 L' F2 D' L,L' F R U R' F' L2 D2 F D' F' L' D F2 D2,,46
D' R U2 L2 F' U R' F U F2 L2 R' B2 R' U R' L2 B2 F' D' F2 D F2,x2,R2 B2 R2 U,B2 D' L U L2 B2 U' F,D L' D' F L' F' D L,D2 F R F2 R' B' L2 B F2 D' F,L2 U B' U' L2 D' R B U' B' U B' R' D B,,46
U2 B2 R B F2 L' D2 L' U2 L2 D2 U2 L' F' L2 R' U' F' U' R' L' B2 F',x2,F2 U' L' D2 B' U,R2 F' U R' U2 R' F' D',U2 B' D B D' F' R' F U2,F R2 U B2 U2 B2 U' R2 F',F2 L R U R U2 B2 U B' R2 F D F' L' F2,,47
